Specimen: 1	Specimen: 1	Specimen: 2	Specimen: 2	Specimen: 3	Specimen: 3	Specimen: 4	Specimen: 4	Specimen: 5	Specimen: 5	Specimen: 6	Specimen: 6	Specimen: 7	Specimen: 7	Specimen: 8	Specimen: 8	Specimen: 9	Specimen: 9
Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample
nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN
913.0290382	98.38007377	909.005019	98.40004196	915.8091001	98.37990164	909.7668059	98.36075997	918.3381534	98.36985583	908.136376	98.36092017	903.052412	98.35155269	906.3715682	98.39045631	915.3181071	98.37989187
912.9671652	98.38007916	909.3037368	98.40001598	915.5099567	98.37992768	910.2677676	98.36071639	918.5854719	98.36983433	908.5722306	98.36088226	902.6874773	98.35158442	906.9426636	98.39040656	915.8914319	98.37984194
912.5227061	98.38011782	908.5339366	98.40008296	915.7364609	98.37990798	910.2316158	98.36071959	919.018881	98.36979658	908.2637199	98.3609091	903.1952601	98.3515402	906.6367415	98.39043326	915.6945893	98.37985912
912.646927	98.38010705	908.2876384	98.4001044	916.1164283	98.37987492	911.5084878	98.36060837	919.2966767	98.36977241	908.4636437	98.36089174	902.8231543	98.35157257	906.5559898	98.39044028	915.6669828	98.37986153
912.5617474	98.38011445	908.1489093	98.4001165	915.6537821	98.37991517	910.3242469	98.36071143	919.831557	98.36972586	907.9507551	98.36093637	903.1172396	98.35154699	906.8187307	98.39041744	915.3941274	98.37988533
913.1703859	98.38006148	908.3027676	98.4001031	915.4019685	98.37993707	911.6950599	98.36059214	920.2753641	98.36968726	908.6809855	98.36087277	902.5421929	98.35159699	906.7006897	98.39042769	916.2582369	98.37981008
912.8682761	98.38008775	908.7449107	98.40006457	915.1429838	98.37995964	911.2989202	98.36062668	919.943256	98.36971614	908.2251076	98.36091252	902.5092781	98.35159989	906.2054522	98.39047086	916.4776719	98.37979099
912.8304268	98.38009108	907.7377416	98.40015225	916.1690745	98.37987029	911.2900184	98.36062743	920.2447164	98.36968987	909.3400702	98.36081543	902.0274551	98.3516418	907.2978819	98.39037564	916.6361532	98.37977722
912.9758027	98.38007844	908.2573344	98.40010706	915.8624015	98.37989707	912.211205	98.36054724	920.1990945	98.36969389	909.3245009	98.36081681	902.7797709	98.35157633	907.3964061	98.39036713	917.0380906	98.37974222
912.694131	98.38010297	908.5517495	98.40008143	915.9164388	98.37989232	912.8161471	98.36049461	920.4679263	98.36967048	909.5269346	98.3607992	902.2868328	98.3516192	906.4228606	98.39045193	916.9767802	98.37974756
912.5935333	98.38011172	908.280352	98.40010495	916.0737411	98.37987865	912.2141976	98.36054699	920.7984296	98.36964176	909.480888	98.3608032	902.3446319	98.35161417	907.1015216	98.39039274	917.18761	98.37972925
913.1666741	98.38006182	908.0283168	98.40012696	915.6103777	98.37991896	912.7660738	98.36049907	920.8184235	98.36963995	909.7539575	98.36077946	902.2955821	98.35161843	907.2954206	98.39037589	917.2858548	98.3797207
912.9133288	98.38008391	908.7687845	98.4000625	915.5736996	98.37992216	912.9823438	98.3604802	921.2149011	98.36960546	909.8384258	98.3607721	901.7130057	98.35166917	907.2347478	98.39038111	917.5554869	98.37969722
912.5380723	98.3801166	908.2442414	98.40010814	914.9830477	98.37997355	913.1247517	98.36046782	921.6042076	98.36957157	909.8318205	98.36077268	901.8464594	98.35165753	908.0145202	98.39031327	917.6738105	98.37968695
913.2245188	98.38005688	908.3106103	98.40010235	915.4569577	98.37993227	913.2528175	98.36045667	921.8472233	98.36955046	909.6903975	98.36078498	901.7794821	98.35166334	908.1897745	98.39029789	917.5590761	98.37969695
911.8660844	98.38017504	908.9442261	98.40004711	915.6877645	98.37991224	912.69748	98.36050507	921.4763913	98.3695827	909.9297626	98.36076417	902.3410479	98.35161445	907.7361291	98.39033749	916.8401836	98.37975957
912.4596633	98.38012339	907.9169775	98.40013666	914.8127754	98.37998836	913.4673568	98.36043803	922.2708658	98.36951359	910.0508038	98.36075361	901.7480735	98.35166606	908.2276259	98.39029469	917.0187438	98.37974402
911.8147046	98.38017953	908.5333823	98.40008292	914.492477	98.38001629	913.5739093	98.36042879	922.3238468	98.36950896	909.7430102	98.36078041	901.8166291	98.35166011	908.0206641	98.39031271	917.7907056	98.37967682
911.9366791	98.38016891	908.7094715	98.40006769	913.5590424	98.3800975	913.7923306	98.36040979	923.026531	98.36944785	909.8310641	98.36077279	901.6983787	98.35167037	908.8269692	98.39024244	917.2435589	98.37972448
903.0069146	95.2820448	908.9120667	98.40004999	913.8590637	98.38007139	913.8427556	98.3604054	923.0048571	98.36944971	910.0903425	98.36075024	901.6767365	98.35167227	908.826882	98.39024244	917.1704164	98.37973089
895.5678131	93.32136226	909.1408438	98.40003012	913.7384024	98.38008187	914.2024814	98.36037412	922.8776075	98.36946074	909.9914636	98.36075884	901.4125835	98.3516952	908.3885575	98.39028057	917.5823917	98.379695
887.8142371	91.36070709	903.3487089	96.4882379	909.4151912	96.45835479	909.3199084	96.42888936	918.569743	96.44773254	905.7265787	96.4194135	896.8613425	96.43979474	903.5360794	96.45879333	917.8868021	98.3796685
880.3690122	89.40002492	896.2217843	94.52752867	901.6679023	94.49769915	901.9872197	94.45839143	911.686314	94.4870018	897.6375766	94.4587879	889.6805293	94.47909012	897.0661525	94.498027	912.4433398	96.44823262
872.9115826	87.43934386	889.2924163	92.56680219	893.8051421	92.53705341	895.0577154	92.49766493	904.4407303	92.5263026	889.8282346	92.49813783	882.2164454	92.51840993	889.2917988	92.53737422	904.901796	94.48755945
864.928572	85.48361177	882.5698378	90.60115439	885.9287415	90.57640885	887.6766005	90.54678446	897.2962471	90.56559455	882.7446026	90.53742461	874.2855092	90.55777042	882.3973215	90.57664473	897.5818236	92.52686701
856.8489095	83.51808141	874.358038	88.65034615	877.4883075	88.61581332	880.8049757	88.57624619	889.7924756	88.60491784	875.641596	88.57671302	867.2366051	88.59705408	874.050687	88.61604169	889.8007385	90.56621463
849.3236676	81.55740608	867.2304365	86.69454016	869.742034	86.65515728	873.2201741	86.62538338	883.1169619	86.64416884	867.5001843	86.61609163	859.4944226	86.64620463	866.9596957	86.65532925	882.2175602	88.60554494
842.0396374	79.59180641	859.7157466	84.72896119	862.1205259	84.69449053	865.8969236	84.66469103	874.5396362	84.68358542	859.5358859	84.65545484	851.6349724	84.6757521	859.3918129	84.69465829	874.270435	86.644907
834.3527445	77.63604836	852.8582978	82.76332495	854.730636	82.73380342	858.7945316	82.70397944	867.5406759	82.72286456	851.9616878	82.69478418	843.780709	82.71510571	851.6661513	82.73400099	867.1440267	84.68419749
826.4645888	75.67540446	844.5597509	80.7978141	847.6770664	80.77308699	850.8134759	80.73353757	860.1386809	80.76217873	844.8414163	80.73407393	836.7382066	80.75438861	843.9627058	80.77334175	859.7956599	82.72350727
818.4293132	73.70987	836.3760205	78.83719653	838.3480288	78.81256849	844.1305718	78.77278938	852.9862313	78.80147114	836.9824913	78.77342781	828.7239975	78.79375608	836.2599628	78.81268241	851.5405816	80.76779925
